5000,3,0.016000,0.039038,0.001246,0.003621,0.004868
5000,5,0.016220,0.096648,0.001154,0.001591,0.002745
5000,10,0.015886,0.296219,0.001096,0.000450,0.001546
5000,15,0.015919,0.496357,0.001163,0.000214,0.001377
5000,20,0.015912,0.763371,0.001957,0.000148,0.002105
10000,3,0.038677,0.088925,0.002650,0.009510,0.012160
10000,5,0.038695,0.212137,0.002434,0.004410,0.006845
10000,10,0.038678,0.685357,0.002323,0.001623,0.003946
10000,15,0.038867,1.205240,0.002444,0.000812,0.003256
10000,20,0.039205,2.296922,0.002550,0.000475,0.003025
15000,3,0.061301,0.140751,0.004231,0.016496,0.020727
15000,5,0.062662,0.339428,0.003964,0.008842,0.012805
15000,10,0.061579,1.077945,0.003812,0.003260,0.007072
15000,15,0.061521,2.274362,0.003559,0.001655,0.005214
15000,20,0.061153,3.492615,0.003629,0.001000,0.004629
20000,3,0.105520,0.229970,0.006301,0.027311,0.033612
20000,5,0.103644,0.533205,0.005797,0.012496,0.018293
20000,10,0.100745,1.743572,0.005430,0.004934,0.010365
20000,15,0.102050,3.140381,0.005519,0.002854,0.008372
20000,20,0.100418,5.722611,0.005012,0.001767,0.006779
25000,3,0.140073,0.313371,0.008332,0.037445,0.045777
25000,5,0.141940,0.677451,0.007668,0.017943,0.025611
25000,10,0.150307,2.191861,0.007841,0.007818,0.015659
25000,15,0.158790,4.631047,0.008364,0.004905,0.013269
25000,20,0.170208,7.407250,0.009262,0.003509,0.012771
30000,3,0.188042,0.384974,0.010268,0.046484,0.056752
30000,5,0.154826,0.820981,0.009034,0.023777,0.032811
30000,10,0.163781,2.820780,0.009503,0.010426,0.019929
30000,15,0.179152,6.041430,0.009975,0.005972,0.015947
30000,20,0.187567,9.583951,0.011037,0.004604,0.015640
35000,3,0.222571,0.425498,0.012145,0.058202,0.070347
35000,5,0.217378,1.014306,0.010854,0.027279,0.038133
35000,10,0.232025,3.435438,0.011400,0.012233,0.023633
35000,15,0.194141,6.847076,0.009703,0.005916,0.015618
35000,20,0.198078,10.692863,0.008969,0.003844,0.012813
40000,3,0.215770,0.476728,0.012408,0.056070,0.068478
40000,5,0.216207,1.124639,0.011121,0.027369,0.038490
40000,10,0.229499,4.064275,0.012283,0.013080,0.025362
40000,15,0.279948,8.024893,0.015443,0.010043,0.025486
40000,20,0.281503,14.478502,0.015001,0.006799,0.021800
45000,3,0.317665,0.605600,0.015581,0.068649,0.084230
45000,5,0.325583,1.518773,0.015715,0.042045,0.057761
45000,10,0.346455,5.266656,0.017368,0.019989,0.037356
45000,15,0.383702,10.149848,0.018850,0.013616,0.032467
45000,20,0.398662,18.582120,0.021041,0.010011,0.031052
50000,3,0.290476,0.613337,0.016770,0.079149,0.095920
50000,5,0.292553,1.393396,0.014632,0.038476,0.053108
50000,10,0.294543,4.790816,0.014224,0.016190,0.030414
50000,15,0.297228,10.379583,0.014199,0.009788,0.023987
50000,20,0.412685,19.122717,0.023753,0.011363,0.035117
55000,3,0.343559,0.769464,0.021019,0.096949,0.117968
55000,5,0.344740,1.782678,0.018904,0.059893,0.078796
55000,10,0.383730,6.046359,0.021032,0.028524,0.049556
55000,15,0.411091,13.111391,0.023756,0.016859,0.040615
55000,20,0.421272,20.683620,0.020430,0.011738,0.032168
60000,3,0.329122,0.712976,0.019894,0.093201,0.113095
60000,5,0.328288,1.753550,0.017897,0.052234,0.070131
60000,10,0.327308,6.171930,0.017382,0.022335,0.039718
60000,15,0.415532,15.035944,0.026149,0.018561,0.044709
60000,20,0.439969,24.815377,0.027091,0.014527,0.041618
65000,3,0.387157,0.880998,0.025034,0.114386,0.139420
65000,5,0.388472,2.144904,0.023081,0.065338,0.088419
65000,10,0.418610,7.577967,0.026471,0.032864,0.059335
65000,15,0.465599,17.337701,0.031528,0.023798,0.055326
65000,20,0.352746,24.101400,0.018387,0.009959,0.028346
70000,3,0.482233,0.922122,0.026248,0.140658,0.166906
70000,5,0.530190,2.375829,0.025024,0.070258,0.095282
70000,10,0.557765,8.324520,0.028648,0.035085,0.063733
70000,15,0.592911,19.100161,0.034933,0.025878,0.060811
70000,20,0.592555,30.270842,0.031608,0.016753,0.048361
75000,3,0.468199,0.933702,0.024346,0.128902,0.153248
75000,5,0.467115,2.318448,0.022361,0.060263,0.082624
75000,10,0.476250,8.267204,0.021663,0.026388,0.048051
75000,15,0.571549,18.709837,0.036879,0.027507,0.064386
75000,20,0.629034,33.494808,0.033967,0.017763,0.051730
80000,3,0.552275,1.138252,0.029034,0.153109,0.182143
80000,5,0.553433,2.886584,0.028648,0.077679,0.106327
80000,10,0.598426,9.861601,0.032689,0.038939,0.071628
80000,15,0.496092,18.000283,0.023686,0.018175,0.041861
80000,20,0.631507,36.202034,0.035794,0.018847,0.054641
85000,3,0.559328,1.351874,0.030591,0.157274,0.187865
85000,5,0.578857,3.189348,0.033408,0.101418,0.134825
85000,10,0.627483,11.713397,0.039118,0.050968,0.090086
85000,15,0.541439,21.238798,0.025496,0.022146,0.047642
85000,20,0.616291,44.131703,0.039248,0.022326,0.061574
90000,3,0.733529,1.332281,0.033565,0.168649,0.202214
90000,5,0.754395,3.444499,0.035987,0.106244,0.142231
90000,10,0.805351,12.544181,0.041997,0.053782,0.095779
90000,15,0.769486,23.314555,0.031737,0.027108,0.058845
90000,20,0.773937,47.080690,0.039470,0.022213,0.061683
95000,3,0.747191,1.508955,0.034157,0.170039,0.204195
95000,5,0.761378,3.736268,0.036919,0.108551,0.145470
95000,10,0.815138,13.472430,0.043590,0.055596,0.099186
