d,compute_Mv,compute_gcd,total
5000,0.00188,0.000141,0.002021
10000,0.002682,0.000496,0.003178
15000,0.003784,0.001052,0.004836
20000,0.005107,0.001822,0.006929
25000,0.006744,0.002575,0.009319
30000,0.008151,0.003454,0.011605
35000,0.009427,0.004226,0.013653
40000,0.010776,0.004937,0.015713
45000,0.012854,0.006171,0.019024
50000,0.013964,0.006897,0.020861
55000,0.01586,0.0091,0.02496
60000,0.016662,0.009267,0.025929
65000,0.018385,0.009913,0.028297
70000,0.019596,0.010628,0.030224
75000,0.021026,0.011303,0.032329
80000,0.022389,0.012241,0.03463
85000,0.025772,0.014939,0.040711
90000,0.027045,0.015664,0.04271
95000,0.028253,0.016414,0.044667
100000,0.029857,0.017499,0.047356
105000,0.031614,0.01834,0.049953
110000,0.032254,0.022259,0.054514
115000,0.034107,0.023292,0.057399
120000,0.034097,0.022399,0.056496
125000,0.039399,0.02477,0.064169
130000,0.038171,0.024076,0.062247
135000,0.0388,0.024344,0.063144
140000,0.039819,0.024913,0.064731
145000,0.042373,0.02598,0.068353
150000,0.043249,0.027145,0.070394
155000,0.045724,0.02731,0.073034
160000,0.046535,0.028532,0.075067
165000,0.054662,0.036645,0.091306
170000,0.057151,0.039006,0.096157
175000,0.056272,0.038029,0.094301
180000,0.056766,0.037349,0.094115
185000,0.058982,0.039103,0.098085
190000,0.061674,0.040794,0.102468
195000,0.060903,0.041448,0.102351
200000,0.060394,0.040015,0.100409
