d,compute_Mv,compute_gcd,total
5000,0.001178,0.003403,0.00458
10000,0.002545,0.00925,0.011795
15000,0.004338,0.017392,0.02173
20000,0.005889,0.02479,0.030679
25000,0.008181,0.036564,0.044745
30000,0.009404,0.041358,0.050762
35000,0.010704,0.054665,0.065369
40000,0.012668,0.060567,0.073235
45000,0.014061,0.064752,0.078813
50000,0.016923,0.085729,0.102652
55000,0.01823,0.091186,0.109416
60000,0.020214,0.099269,0.119483
65000,0.021785,0.105009,0.126795
70000,0.022768,0.131679,0.154447
75000,0.024925,0.133899,0.158824
80000,0.026732,0.141982,0.168714
85000,0.027651,0.142507,0.170158
90000,0.029102,0.151473,0.180575
95000,0.028426,0.141927,0.170353
100000,0.036956,0.204242,0.241198
105000,0.038321,0.213652,0.251973
110000,0.038707,0.216129,0.254836
115000,0.040053,0.219372,0.259425
120000,0.038626,0.209105,0.247731
125000,0.045586,0.240921,0.286507
130000,0.04482,0.24329,0.28811
135000,0.048036,0.30778,0.355816
140000,0.045222,0.284964,0.330186
145000,0.046547,0.288809,0.335356
150000,0.049606,0.292545,0.342151
155000,0.055459,0.327228,0.382688
160000,0.055831,0.31936,0.375191
165000,0.05659,0.325919,0.38251
170000,0.055921,0.316835,0.372756
175000,0.063833,0.355166,0.418999
180000,0.064797,0.371582,0.436379
185000,0.065471,0.342352,0.407823
190000,0.070109,0.369702,0.439811
195000,0.069745,0.377013,0.446758
200000,0.080288,0.454143,0.534431
