d,compute_Mv,compute_gcd,total
5000,0.001128,0.000207,0.001335
10000,0.002595,0.000819,0.003415
15000,0.003655,0.001716,0.00537
20000,0.005367,0.002739,0.008106
25000,0.006889,0.004046,0.010936
30000,0.007782,0.004708,0.01249
35000,0.010098,0.006505,0.016603
40000,0.011417,0.007529,0.018946
45000,0.012201,0.008988,0.021189
50000,0.013861,0.009888,0.023749
55000,0.015089,0.010838,0.025927
60000,0.016764,0.012053,0.028816
65000,0.019586,0.015172,0.034758
70000,0.021866,0.016702,0.038568
75000,0.022276,0.017115,0.039391
80000,0.024709,0.019034,0.043743
85000,0.024952,0.022747,0.047698
90000,0.02668,0.02383,0.05051
95000,0.028963,0.024253,0.053216
100000,0.030435,0.025405,0.05584
105000,0.029056,0.024151,0.053206
110000,0.03294,0.026904,0.059843
115000,0.031263,0.025627,0.05689
120000,0.034945,0.028403,0.063348
125000,0.039371,0.034958,0.074329
130000,0.042026,0.037423,0.079449
135000,0.041647,0.036565,0.078212
140000,0.042888,0.037359,0.080247
145000,0.043745,0.038491,0.082236
150000,0.044935,0.039545,0.08448
155000,0.04707,0.040805,0.087874
160000,0.048428,0.042984,0.091412
165000,0.051252,0.053565,0.104817
170000,0.053355,0.056258,0.109613
175000,0.054301,0.054915,0.109216
180000,0.05769,0.057377,0.115067
185000,0.058444,0.056424,0.114868
190000,0.06136,0.058899,0.12026
195000,0.063855,0.059174,0.123029
200000,0.062063,0.058903,0.120966
